ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	regens	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
27.5087357085531	102.634	16.77540106951872	86.2379679144385	71.97326203208556	52.64991892639999	48	6328	220	33.0	237.0	198.0	34	3.0	3.0	2.0	0	151	0	6.931536912918091	24500	281.37666487693787	10066	58.91428571428571	
28.42592600677499	104.062	16.953804347826086	89.27989130434783	74.4211956521739	52.64991892639999	49	6460	216	33.0	240.0	200.0	31	3.0	3.0	2.0	0	151	0	10.032338380813599	25000	291.40900325775146	10293	58.828	
28.323770998449213	109.538	17.1640625	91.5234375	76.30989583333333	52.64991892639999	50	6577	233	33.0	242.0	202.0	33	3.0	3.0	2.0	0	151	0	9.152134895324707	25500	300.5611381530762	10530	58.705882352941174	
27.438827633983806	100.59	15.907103825136613	80.44262295081967	66.95081967213115	52.64991892639999	51	6712	229	29.0	212.0	178.0	34	3.0	3.0	2.0	0	151	0	6.960457801818848	26000	307.521595954895	10751	58.650000000000006	
28.71342457527592	100.892	15.833333333333334	80.18032786885246	66.66939890710383	52.64991892639999	52	6847	227	25.0	149.0	125.0	33	3.0	3.0	2.0	0	151	0	8.651695013046265	26500	316.1732909679413	10982	58.55849056603773	
28.61020742209632	97.37	15.96174863387978	79.07103825136612	65.69125683060109	52.64991892639999	53	6982	221	28.0	147.0	124.0	41	3.0	3.0	2.0	0	151	0	10.613442420959473	27000	326.78673338890076	11213	58.470370370370375	
26.88804770028742	99.516	15.970744680851064	80.07180851063829	66.47340425531915	52.64991892639999	54	7107	224	29.0	240.0	203.0	30	3.0	3.0	2.0	0	151	0	8.689419746398926	27500	335.4761531352997	11453	58.35272727272727	
27.404797475962404	103.352	16.261658031088082	82.47668393782384	68.59326424870466	60.7598672444245	55	7222	230	36.0	248.0	210.0	21	3.0	3.0	2.0	0	151	0	7.95325231552124	28000	343.4294054508209	11683	58.275	
27.890793622338656	102.412	16.005449591280655	79.73297002724796	66.43869209809264	60.7598672444245	56	7356	224	28.0	159.0	132.0	34	3.0	3.0	2.0	0	151	0	7.508458852767944	28500	350.93786430358887	11903	58.23508771929824	
26.242114434786103	104.7	16.387862796833772	82.9155672823219	69.08707124010554	60.7598672444245	57	7478	228	31.0	240.0	203.0	30	3.0	3.0	2.0	0	151	0	10.281275510787964	29000	361.21913981437683	12157	58.07931034482758	
26.911222392121676	105.042	16.72316384180791	86.61581920903954	72.2316384180791	60.7598672444245	58	7625	240	29.0	243.0	207.0	30	3.0	3.0	2.0	0	151	0	8.886653900146484	29500	370.1057937145233	12382	58.0271186440678	
28.13778335218458	106.184	16.792746113989637	86.93782383419689	72.48186528497409	60.7598672444245	59	7740	253	28.0	237.0	201.0	19	3.0	3.0	2.0	0	151	0	8.655341148376465	30000	378.7611348628998	12613	57.95666666666667	
26.450412799775222	106.986	16.652956298200515	85.76863753213368	71.5038560411311	60.7598672444245	60	7852	275	31.0	277.0	231.0	27	3.0	3.0	2.0	0	151	0	13.443623065948486	30500	392.20475792884827	12861	57.8327868852459	
26.956679108846377	104.032	16.36387434554974	82.8717277486911	69.13350785340315	60.7598672444245	61	7971	287	34.0	261.0	221.0	27	3.0	3.0	2.0	0	151	0	10.095718622207642	31000	402.3004765510559	13092	57.76774193548387	
27.98828212103355	109.592	16.599447513812155	86.62154696132596	72.21270718232044	60.7598672444245	62	8110	287	36.0	261.0	221.0	27	3.0	3.0	2.0	0	151	0	8.98672366142273	31500	411.28720021247864	13313	57.736507936507934	
28.56661013990711	111.864	17.465425531914892	94.44680851063829	78.79255319148936	60.7598672444245	63	8235	287	32.0	260.0	221.0	29	3.0	3.0	2.0	0	151	0	9.176995992660522	32000	420.46419620513916	13556	57.6375	
